establecimiento_nombre,localidad_nombre,provincia_nombre,departamento_nombre
CENTRO MEDICO INTEGRAL,RIVADAVIA,SAN JUAN,RIVADAVIA
INSTITUCION EDUCATIVA DEDICADA A LA ATENCION INTEGRAL DE PERSONAS CON DISCAPACIDAD HUARPES S.R.L.,RIVADAVIA,SAN JUAN,RIVADAVIA
CONSULTORIOS Y LABORATORIO DE ANALISIS CLINICOS CENTRO MEDICO SAN MARTIN,RIVADAVIA,SAN JUAN,RIVADAVIA
LABORATORIO DE INVESTIGACION FORENSE,RIVADAVIA,SAN JUAN,RIVADAVIA
LABORATORIO DE ANALISIS CLINICOS SANTA GEMMA - SAN MARTIN 3278,RIVADAVIA,SAN JUAN,RIVADAVIA
ESCUADRON NUCLEO SAN JUAN,RIVADAVIA,SAN JUAN,RIVADAVIA
CONSULTORIO MEDICO Y CONSULTORIO DE KINESIOLOGIA DEL CTRO DE JUBIL. Y PENSION. MEDALLA MILAGROSA,RIVADAVIA,SAN JUAN,RIVADAVIA
CAPS BARRIO INDEPENDENCIA,SAN ISIDRO,SAN JUAN,SAN MARTÍN
CAPS EJERCITO DE LOS ANDES,VILLA DOMINGUITO,SAN JUAN,SAN MARTÍN
CAPS ARNOLDO JANSSEN - CIC LA PUNTILLA,VILLA DOMINGUITO,SAN JUAN,SAN MARTÍN
HOSPITAL DRA. STELLA MOLINA,VILLA SAN MARTIN,SAN JUAN,SAN MARTÍN
CAPS DR. HORACIO GRILLO,ALTO DE SIERRA,SAN JUAN,SANTA LUCÍA
CIENTIFICA CUYO 3,ALTO DE SIERRA,SAN JUAN,SANTA LUCÍA
OPTICA NOGUERA,ALTO DE SIERRA,SAN JUAN,SANTA LUCÍA
CLINICA PSICOPATOLOGICA SANTA LUCIA INTERNACION PSIQUIATRICA Y CONSULTORIOS EXTERNOS,ALTO DE SIERRA,SAN JUAN,SANTA LUCÍA
CAPS DR. EMILIO GALDEANO,COLONIA GUTIERREZ,SAN JUAN,SANTA LUCÍA
CAPS CARMEN IBONE SILVA,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CAPS VILLA MARIA,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CAPS VILLA MARINI,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CAPS VILLA DON ARTURO,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CAPS VILLA ALBA,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
LABORATORIO MUNICIPAL DE SANTA LUCIA,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CONSULTORIO MEDICO DE MOLINOS RIO DE LA PLATA,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CONSULTORIO ODONTOLOGICO RAMOS QUIROGA,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CONSULTORIOS EXTERNOS DE KINESIOLOGIA DENTAL SANTA LUCIA,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CONSULTORIO ODONTOLOGICO CONSULTORIO DENTAL,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CONSULTORIOS EXTERNOS DE ODONTOLOGIA DENTAL SANTA LUCIA,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
LABORATORIO DE ANALISIS CLINICOS GABRI,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CONSULTORIOS PUNTO SALUD,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CONSULTORIO DE KINESIOLOGIA Y FISIOTERAPIA OLIVARES,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CONSULTORIO DE REHABILITACION KINESICA CENTRO LASER,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
OPTICA CRESPO,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CONSULTORIOS MEDICOS ROCA,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CONSULTORIO MEDICO VERA MARTINEZ,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CENTRO MEDICO YRIGOYEN,SANTA LUCIA,SAN JUAN,SANTA LUCÍA
CAPS CAÑADA HONDA,CAÑADA HONDA,SAN JUAN,SARMIENTO
CAPS CIENAGUITA,CIENAGUITA,SAN JUAN,SARMIENTO
CAPS CERRO VALDIVIA,COLONIA FISCAL,SAN JUAN,SARMIENTO
CAPS DIVISADERO,DIVISADERO,SAN JUAN,SARMIENTO
CAPS GUANACACHE,GUANACACHE,SAN JUAN,SARMIENTO
CAPS LAS LAGUNAS,LAS LAGUNAS,SAN JUAN,SARMIENTO
HOSPITAL LOS BERROS,LOS BERROS,SAN JUAN,SARMIENTO
CIC LOS BERROS,LOS BERROS,SAN JUAN,SARMIENTO
CENTRO DE SALUD COLONIA ALDAO,ALDAO,SANTA FE,CASTELLANOS
CENTRO DE SALUD ANGELICA,ANGELICA,SANTA FE,CASTELLANOS
CENTRO DE SALUD ATALIVA,ATALIVA,SANTA FE,CASTELLANOS
HOSPITAL NASCHEL,NASCHEL,SAN LUIS,CHACABUCO
CENTRO MEDICO Y DE REHABILITACION NASCHEL,NASCHEL,SAN LUIS,CHACABUCO
CENTRO INTEGRAL DE SALUD Y EDUCACION CISE,NASCHEL,SAN LUIS,CHACABUCO
CAPS PAPAGAYOS,PAPAGAYOS,SAN LUIS,CHACABUCO
CAPS RENCA,RENCA,SAN LUIS,CHACABUCO
CAPS SAN PABLO,SAN PABLO,SAN LUIS,CHACABUCO
HOSPITAL TILISARAO,TILISARAO,SAN LUIS,CHACABUCO
OPTICA TILISARAO,TILISARAO,SAN LUIS,CHACABUCO
SANATORIO LOS PASOS S.A.,TILISARAO,SAN LUIS,CHACABUCO
CONSULTORIO ODONTOLOGICO ODONTOLOGIA MSC,TILISARAO,SAN LUIS,CHACABUCO
CONSULTORIO MEDICO DR. PONCE,TILISARAO,SAN LUIS,CHACABUCO
CONSULTORIO ODONTOLOGICO PABLO ROSSETTI,TILISARAO,SAN LUIS,CHACABUCO
CONSULTORIO ODONTOLOGICO RAUL ALBERTO BERTOME,TILISARAO,SAN LUIS,CHACABUCO
CENTRO MEDICO UNISOL SALUD,TILISARAO,SAN LUIS,CHACABUCO
CONSULTORIO ODONTOLOGICO PABLO ROSETTI,TILISARAO,SAN LUIS,CHACABUCO
CAPS VILLA LARCA,VILLA LARCA,SAN LUIS,CHACABUCO
CENTRO DE SALUD LUCIO V. LOPEZ,LUCIO V. LOPEZ,SANTA FE,IRIONDO
PUESTO SANITARIO QUEBRACHITOS (PINTO).,QUEBRACHITOS,SANTIAGO DEL ESTERO,AGUIRRE
PUESTO SANITARIO ARGENTINA (SELVA),ARGENTINA,SANTIAGO DEL ESTERO,AGUIRRE
PUESTO SANITARIO CASARES (PINTO),CASARES,SANTIAGO DEL ESTERO,AGUIRRE
PUESTO SANITARIO MALBRAN (PINTO),MALBRAN,SANTIAGO DEL ESTERO,AGUIRRE
PUESTO SANITARIO LA PROMESA (PINTO),VILLA GENERAL MITRE,SANTIAGO DEL ESTERO,AGUIRRE
PUESTO SANITARIO LA PROVIDENCIA (PINTO),VILLA GENERAL MITRE,SANTIAGO DEL ESTERO,AGUIRRE
HOSPITAL ZONAL PINTO,VILLA GENERAL MITRE,SANTIAGO DEL ESTERO,AGUIRRE
PUESTO SANITARIO AGUSTINA LIBARONA (CAMPO GALLO),AGUSTINA LIBARONA,SANTIAGO DEL ESTERO,ALBERDI
CENTRO DE SALUD AURELIA,AURELIA,SANTA FE,CASTELLANOS
CENTRO DE SALUD BAUER Y SIGEL,BAUER Y SIGEL,SANTA FE,CASTELLANOS
CENTRO DE SALUD BELLA ITALIA,BELLA ITALIA,SANTA FE,CASTELLANOS
CENTRO DE SALUD COLONIA BICHA,COLONIA BICHA,SANTA FE,CASTELLANOS
CENTRO DE SALUD COLONIA MARGARITA,COLONIA MARGARITA,SANTA FE,CASTELLANOS
CENTRO DE SALUD RAQUEL,COLONIA RAQUEL,SANTA FE,CASTELLANOS
CENTRO DE SALUD DR. JOSE COSTA,CORONEL FRAGA,SANTA FE,CASTELLANOS
CENTRO DE SALUD DR. DOMINGO PREITI - EGUSQUIZA,EGUSQUIZA,SANTA FE,CASTELLANOS
CENTRO DE SALUD LA CABRAL,LA CABRAL,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD LA RUBIA,LA RUBIA,SANTA FE,SAN CRISTÓBAL
SAMCO BARON HIRSCH,MOISES VILLE,SANTA FE,SAN CRISTÓBAL
HOLEPAM CASA DE ABUELOS TELMO Y LUISA,MOISES VILLE,SANTA FE,SAN CRISTÓBAL
SAMCO MONIGOTES,MONIGOTES,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD ÑANDUCITA,ÑANDUCITA,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD PALACIOS,PALACIOS,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD LA LUCILA,SAN CRISTOBAL,SANTA FE,SAN CRISTÓBAL
SAMCO SAN CRISTOBAL,SAN CRISTOBAL,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD JOSE DHO,SAN CRISTOBAL,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD BARRIO JUAN XXIII,SAN CRISTOBAL,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD BARRIO PELLEGRINI,SAN CRISTOBAL,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD BARRIO SAN JOSE,SAN CRISTOBAL,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD EL LUCERO,SAN CRISTOBAL,SANTA FE,SAN CRISTÓBAL
CLINICA SAN CRISTOBAL,SAN CRISTOBAL,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD DR. ISAAC WARCHAVSKY,SAN GUILLERMO,SANTA FE,SAN CRISTÓBAL
SAMCO SAN GUILLERMO,SAN GUILLERMO,SANTA FE,SAN CRISTÓBAL
CLINICA PRIVADA CONVIVIR,SAN GUILLERMO,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD SANTURCE,SANTURCE,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD SOLEDAD,SOLEDAD,SANTA FE,SAN CRISTÓBAL
CENTRO DE SALUD BARRIO SAN MIGUEL,SUARDI,SANTA FE,SAN CRISTÓBAL
SAMCO SUARDI,SUARDI,SANTA FE,SAN CRISTÓBAL
SANATORIO DEL VALLE,SUARDI,SANTA FE,SAN CRISTÓBAL
SAMCO VILLA TRINIDAD,VILLA TRINIDAD,SANTA FE,SAN CRISTÓBAL
PUESTO SANITARIO QUEBRACHO COTO (HOPS NUEVA ESPERANZA),QUEBRACHO COTO,SANTIAGO DEL ESTERO,PELLEGRINI
PUESTO SANITARIO QUEBRADA ESQUINA (HOSP NUEVA ESPERANZA),QUEBRACHO ESQUINA,SANTIAGO DEL ESTERO,PELLEGRINI
CENTRO DE SALUD GRANEROS,GRANEROS,TUCUMÁN,GRANEROS
CAPS CASAS VIEJAS,GRANEROS,TUCUMÁN,GRANEROS
POSTA SANITARIA SAN PANTALEON (EX LAS ANIMAS),LAMADRID,TUCUMÁN,GRANEROS
HOSPITAL DR. RAMON H. MAZA,LAMADRID,TUCUMÁN,GRANEROS
SERVICIO DE TRASLADOS PROGRAMADOS,LAMADRID,TUCUMÁN,GRANEROS
CENTRO DE SALUD TACO RALO,TACO RALO,TUCUMÁN,GRANEROS
POSTA SANITARIA DR. FILGUEIRA OVIEDO (ESCABA DE ARRIBA),ESCABA DE ABAJO,TUCUMÁN,JUAN BAUTISTA ALBERDI
CAPS ESCABA DE ABAJO,ESCABA DE ABAJO,TUCUMÁN,JUAN BAUTISTA ALBERDI
CENTRO DE SALUD LA CALERA,LA CALERA,TUCUMÁN,JUAN BAUTISTA ALBERDI
CENTRO DE SALUD TALAMUYO,TALAMUYO,TUCUMÁN,JUAN BAUTISTA ALBERDI
HOSPITAL JUAN B. ALBERDI,JUAN BAUTISTA ALBERDI,TUCUMÁN,JUAN BAUTISTA ALBERDI
CIC DONATO ALVAREZ,JUAN BAUTISTA ALBERDI,TUCUMÁN,JUAN BAUTISTA ALBERDI
CENTRO ODONTOLOGICO HASSAN,JUAN BAUTISTA ALBERDI,TUCUMÁN,JUAN BAUTISTA ALBERDI
CENTRO NUESTRA SEÑORA DE LA DULCE ESPERA,JUAN BAUTISTA ALBERDI,TUCUMÁN,JUAN BAUTISTA ALBERDI
CENTRO MEDICO,JUAN BAUTISTA ALBERDI,TUCUMÁN,JUAN BAUTISTA ALBERDI
CENTRO PRIVADO DE REHABILITACION FISICA ALBERDI,JUAN BAUTISTA ALBERDI,TUCUMÁN,JUAN BAUTISTA ALBERDI
CENTRO DE REHABILITACION INTEGRAL DIVINO NIÑO,JUAN BAUTISTA ALBERDI,TUCUMÁN,JUAN BAUTISTA ALBERDI
CENTRO MEDICO DR. VIGNOLI,JUAN BAUTISTA ALBERDI,TUCUMÁN,JUAN BAUTISTA ALBERDI
LABORATORIO DE ANALISIS CLINICOS GALLO,JUAN BAUTISTA ALBERDI,TUCUMÁN,JUAN BAUTISTA ALBERDI
SANATORIO SOL S.R.L.,JUAN BAUTISTA ALBERDI,TUCUMÁN,JUAN BAUTISTA ALBERDI
CAPS DRA. EDITH PASTORIZA (EX VILLA BELGRANO),VILLA BELGRANO,TUCUMÁN,JUAN BAUTISTA ALBERDI
CENTRO DE SALUD ESPIN,ESPIN,SANTA FE,VERA
CENTRO DE SALUD FORTIN CHARRUA,FORTIN CHARRUA,SANTA FE,VERA
PUESTO SANITARIO SAN FELIX (HOSP EL BOBADAL),SAN FELIX,SANTIAGO DEL ESTERO,JIMÉNEZ
PUESTO SANITARIO SAN GREGORIO (SANTOS LUGARES),SAN GREGORIO,SANTIAGO DEL ESTERO,JIMÉNEZ
PUESTO SANITARIO NUEVA COLONIA (LA BOTA) (BANDERA BAJADA),BANDERA BAJADA,SANTIAGO DEL ESTERO,FIGUEROA
PUESTO SANITARIO SAN VICENTE (BANDERA BAJADA),BANDERA BAJADA,SANTIAGO DEL ESTERO,FIGUEROA
HOSPITAL DISTRITAL BANDERA BAJADA,BANDERA BAJADA,SANTIAGO DEL ESTERO,FIGUEROA
PUESTO SANITARIO CASPI CORRAL (BANDERA BAJADA),CASPI CORRAL,SANTIAGO DEL ESTERO,FIGUEROA
PUESTO SANITARIO SAN JUAN (CLODOMIRA),COLONIA SAN JUAN,SANTIAGO DEL ESTERO,FIGUEROA
HOSPITAL DE TRANSITO LA CAÑADA,LA CAÑADA,SANTIAGO DEL ESTERO,FIGUEROA
PUESTO SANITARIO INVERNADA NORTE (BANDERA BAJADA),LA INVERNADA,SANTIAGO DEL ESTERO,FIGUEROA
PUESTO SANITARIO INVERNADA SUR (BANDERA BAJADA),LA INVERNADA,SANTIAGO DEL ESTERO,FIGUEROA
PUESTO SANITARIO VACA HUAÑUNA (BANDERA BAJADA),VACA HUAÑUNA,SANTIAGO DEL ESTERO,FIGUEROA
POSTA SANITARIA POTRILLO POZON (BANDERA BAJADA),VILLA FIGUEROA,SANTIAGO DEL ESTERO,FIGUEROA
ESCUELA Nº 929 DE TUSCA POZO (HOSP EL BOBADAL),VILLA FIGUEROA,SANTIAGO DEL ESTERO,FIGUEROA
PUESTO SANITARIO SAN JOSE (BANDERA BAJADA),VILLA FIGUEROA,SANTIAGO DEL ESTERO,FIGUEROA
PUESTO SANITARIO CHEJCHILA (LA CAÑADA),VILLA FIGUEROA,SANTIAGO DEL ESTERO,FIGUEROA
PUESTO SANITARIO EL DIQUE (POSTA KILOMETRO CERO) (BANDERA BAJADA),VILLA FIGUEROA,SANTIAGO DEL ESTERO,FIGUEROA
PUESTO SANITARIO VILLA FIGUEROA,VILLA FIGUEROA,SANTIAGO DEL ESTERO,FIGUEROA
PUESTO SANITARIO EL MALACARA (AÑATUYA),EL MALACARA,SANTIAGO DEL ESTERO,GENERAL TABOADA
PUESTO SANITARIO (CAPITAL RURAL NORTE) REMES.,REMES,SANTIAGO DEL ESTERO,CAPITAL
PUESTO SANITARIO (CAPITAL RURAL NORTE) SAN BENITO,SAN BENITO,SANTIAGO DEL ESTERO,CAPITAL
PUESTO SANITARIO (CAPITAL RURAL NORTE) ESCUELA DE LA ESTANCITA,SAN LORENZO,SANTIAGO DEL ESTERO,CAPITAL
PUESTO SANITARIO (CAPITAL RURAL SUR) SANTA ROSA,SANTA ROSA,SANTIAGO DEL ESTERO,CAPITAL
PUESTO SANITARIO (CAPITAL RURAL NORTE) RAMON CARRILLO - EL DEAN - RUTA 211,EL DEAN,SANTIAGO DEL ESTERO,CAPITAL
CAPS PEDERNAL,PEDERNAL,SAN JUAN,SARMIENTO
CAPS PUNTA DEL MEDANO,PUNTA DEL MEDANO,SAN JUAN,SARMIENTO
CAPS TRES ESQUINAS,VILLA MEDIA AGUA,SAN JUAN,SARMIENTO
CAPS SAN CARLOS,VILLA MEDIA AGUA,SAN JUAN,SARMIENTO
HOSPITAL DR. VENTURA LLOVERAS,VILLA MEDIA AGUA,SAN JUAN,SARMIENTO
CAPS RETAMITO,VILLA MEDIA AGUA,SAN JUAN,SARMIENTO
CAPS COCHAGUAL CENTRO,VILLA MEDIA AGUA,SAN JUAN,SARMIENTO
CAPS COCHAGUAL NORTE,VILLA MEDIA AGUA,SAN JUAN,SARMIENTO
CAPS LA CILVICA,VILLA MEDIA AGUA,SAN JUAN,SARMIENTO
OPTICA DEL SUR,VILLA MEDIA AGUA,SAN JUAN,SARMIENTO
CONSULTORIOS MEDICOS Y SERVICIO DE ODONTOLOGIA DE LOS ALAMOS SRL,VILLA MEDIA AGUA,SAN JUAN,SARMIENTO
CAPS ALEJANDRO ROYON,VILLA IBAÑEZ,SAN JUAN,ULLÚM
CAPS ULLUM,VILLA IBAÑEZ,SAN JUAN,ULLÚM
CIC ULLUM,VILLA IBAÑEZ,SAN JUAN,ULLÚM
SALA DE PRIMEROS AUXILIOS Y BASE DE AMBULANCIAS DE TECHINT,VILLA IBAÑEZ,SAN JUAN,ULLÚM
POSTA SANITARIA EL CORRALITO,EL CORRALITO,TUCUMÁN,LA COCHA
CENTRO DE SALUD HUASA PAMPA SUR,HUASA PAMPA SUR,TUCUMÁN,LA COCHA
CAPS LA INVERNADA,LA INVERNADA,TUCUMÁN,LA COCHA
PUESTO SANITARIO VILLA MERCEDES (HOSP NUEVA ESPERANZA),VILLA MERCEDES,SANTIAGO DEL ESTERO,PELLEGRINI
HOSPITAL DE TRANSITO EL MOJON,EL MOJON,SANTIAGO DEL ESTERO,PELLEGRINI
PUESTO SANITARIO LAS DELICIAS (HOSP NUEVA ESPERANZA),LAS DELICIAS,SANTIAGO DEL ESTERO,PELLEGRINI
PUESTO SANITARIO EL NARANJITO (HOSP NUEVA ESPERANZA),NUEVA ESPERANZA,SANTIAGO DEL ESTERO,PELLEGRINI
PUESTO SANITARIO NUEVO (HOSP NUEVA ESPERANZA),NUEVA ESPERANZA,SANTIAGO DEL ESTERO,PELLEGRINI
HOSPITAL ZONAL NUEVA ESPERANZA,NUEVA ESPERANZA,SANTIAGO DEL ESTERO,PELLEGRINI
LABORATORIO DE ANALISIS CLINICOS DRA. M. I. ISLAS,NUEVA ESPERANZA,SANTIAGO DEL ESTERO,PELLEGRINI
PUESTO SANITARIO POZO BETBEDER (HOSP NUEVA ESPERANZA),POZO BETBEDER,SANTIAGO DEL ESTERO,PELLEGRINI
PUESTO SANITARIO RAPELLI (HOSP NUEVA ESPERANZA),RAPELLI,SANTIAGO DEL ESTERO,PELLEGRINI
PUESTO SANITARIO SANTO DOMINGO (HOSP NUEVA ESPERANZA),SANTO DOMINGO,SANTIAGO DEL ESTERO,PELLEGRINI
PUESTO SANITARIO TORO POZO (HOSP EL CHARCO),TORO POZO,SANTIAGO DEL ESTERO,JIMÉNEZ
PUESTO SANITARIO LA COSTOSA - JIMENEZ (HOSP EL BOBADAL),EL BOBADAL,SANTIAGO DEL ESTERO,JIMÉNEZ
PUESTO SANITARIO EL ARENAL (HOSP EL BOBADAL),EL BOBADAL,SANTIAGO DEL ESTERO,JIMÉNEZ
HOSPITAL DISTRITAL EL BOBADAL,EL BOBADAL,SANTIAGO DEL ESTERO,JIMÉNEZ
PUESTO SANITARIO EL BAGUAL ( HOSP EL CHARCO),EL CHARCO,SANTIAGO DEL ESTERO,JIMÉNEZ
PUESTO SANITARIO EL PACARA (HOSP EL CHARCO),EL CHARCO,SANTIAGO DEL ESTERO,JIMÉNEZ
PUESTO SANITARIO CASILLA DEL MEDIO (HOSP TERMAS),EL CHARCO,SANTIAGO DEL ESTERO,JIMÉNEZ
PUESTO SANITARIO GRAMILLA (HOSP EL CHARCO),GRAMILLA,SANTIAGO DEL ESTERO,JIMÉNEZ
PUESTO SANITARIO ISCA YACU (POZO HONDO),ISCA YACU,SANTIAGO DEL ESTERO,JIMÉNEZ
HOSPITAL DISTRITAL POZO HONDO,POZO HONDO,SANTIAGO DEL ESTERO,JIMÉNEZ
CENTRO DE INTEGRACION COMUNITARIA (CIC) - POZO HONDO,POZO HONDO,SANTIAGO DEL ESTERO,JIMÉNEZ
ONG AGRUPACION JUBILADOS Y PENSIONADOS - POZO HONDO,POZO HONDO,SANTIAGO DEL ESTERO,JIMÉNEZ
CENTRO MEDICO FAMILIA Y SALUD,PEDERNERA,SAN LUIS,GENERAL PEDERNERA
CAPS Nº 53 - CARPINTERIA,CARPINTERIA,SAN LUIS,JUNÍN
FLAVIA PATERNI,CARPINTERIA,SAN LUIS,JUNÍN
CAPS CERRO DE ORO,CERRO DE ORO,SAN LUIS,JUNÍN
CAPS LAFINUR,LAFINUR,SAN LUIS,JUNÍN
CAPS LOS CAJONES,LOS CAJONES,SAN LUIS,JUNÍN
CAPS LOS MOLLES,LOS MOLLES,SAN LUIS,JUNÍN
HOSPITAL DE SANTA ROSA,SANTA ROSA DEL CONLARA,SAN LUIS,JUNÍN
CAPS EL TALITA,TALITA,SAN LUIS,JUNÍN
CAPS LAS BARRANCAS,LAS BARRANCAS,SAN LUIS,LA CAPITAL
SAMCO BUSTINZA,BUSTINZA,SANTA FE,IRIONDO
CS DR GUILLERMO ESTEVEZ BOERO,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO DE SALUD FONAVI BARRIO ESTANISLAO LOPEZ,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
HOSPITAL SAN JOSE DE CAÑADA DE GOMEZ,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO DE SALUD BARRIO PARQUE - CAÑADA DE GOMEZ,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO DE SALUD 25 DE MAYO - CAÑADA DE GOMEZ,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO DE SALUD VICTOR ROSSI,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO DE SALUD BARRIO MERCANTIL,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO DE SALUD DR JAVIER FERNANDEZ,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
HOLEPAM SANTA CECILIA,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
HOLEPAM EL AMANECER,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
HOLEPAM ATARDECERES,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
GERIATRICO TRINIDAD,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
HOLEPAM NUESTRO HOGAR,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
HOLEPAM SAN FRANCISCO,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
HOLEPAM EMILIA,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
EMERGENCIAS CEMI,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
COMUNIDAD TERAPEUTICA NAZARETH,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO MEDICO INFANTIL,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO DE ESPECIALIDADES MEDICAS -MUTUAL A.D.E.O.-,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO DE DIAGNOSTICO JOSE LUIS VALENTI Y MARIA LUZ LUCENA,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO MEDICO MORENO,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO DE TOMOGRAFIAS CAÑADA S. A.,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
LABORATORIO ANALISIS CLINICOS R. D. PIJUAN,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
LABORATORIO ANALISIS CLINICO DRA. BICHEGO,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
LABORATORIO ANALISIS CLINICOS DR. O. TRAVAGLINO,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
SANATORIO INTEGRADO DE LA CIUDAD,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
SANATORIO REGIONAL CAÑADA DE GOMEZ,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
LABORATORIO ANALISIS CLINICOS DR. N. I. GARCIA,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
LABORATORIO ANALISIS CLINICOS DR. J. J. TRAVAGLINO,CAÑADA DE GOMEZ,SANTA FE,IRIONDO
CENTRO DE SALUD CLASSON,CLASSON,SANTA FE,IRIONDO
CENTRO DE SALUD CORREA,CORREA,SANTA FE,IRIONDO
CLINICA CORREA,CORREA,SANTA FE,IRIONDO
SAMCO OLIVEROS DR. ERNESTO DIAZ,OLIVEROS,SANTA FE,IRIONDO
COLONIA PSIQUIATRICA DR. ABELARDO FREYRE,OLIVEROS,SANTA FE,IRIONDO
CAPS BALDE DE ASTICA,ASTICA,SAN JUAN,VALLE FÉRTIL
CAPS ASTICA,ASTICA,SAN JUAN,VALLE FÉRTIL
CAPS BALDE DEL ROSARIO,BALDE DEL ROSARIO,SAN JUAN,VALLE FÉRTIL
CAPS CHUCUMA,CHUCUMA,SAN JUAN,VALLE FÉRTIL
CAPS BALDE DEL SUR DE CHUCUMA,CHUCUMA,SAN JUAN,VALLE FÉRTIL
CAPS BALDECITOS,LOS BALDECITOS,SAN JUAN,VALLE FÉRTIL
CAPS USNO,USNO,SAN JUAN,VALLE FÉRTIL
CAPS BALDE DE LAS CHILCAS,VILLA SAN AGUSTIN,SAN JUAN,VALLE FÉRTIL
HOSPITAL DR. ALEJANDRO ALBARRACIN,VILLA SAN AGUSTIN,SAN JUAN,VALLE FÉRTIL
CAPS SIERRAS DE RIVEROS,VILLA SAN AGUSTIN,SAN JUAN,VALLE FÉRTIL
CAPS BALDE DE FUNES,VILLA SAN AGUSTIN,SAN JUAN,VALLE FÉRTIL
CAPS LA MAJADITA,VILLA SAN AGUSTIN,SAN JUAN,VALLE FÉRTIL
CAPS LOS BRETES,VILLA SAN AGUSTIN,SAN JUAN,VALLE FÉRTIL
CAPS SEGUNDO T. ELIZONDO (SIERRAS DE CHAVEZ),VILLA SAN AGUSTIN,SAN JUAN,VALLE FÉRTIL
CAPS SIERRAS DE ELIZONDO,VILLA SAN AGUSTIN,SAN JUAN,VALLE FÉRTIL
LABORATORIO DE ANALISIS CLINICOS LUNA,VILLA SAN AGUSTIN,SAN JUAN,VALLE FÉRTIL
CAPS TUPELI,TUPELI,SAN JUAN,25 DE MAYO
CENTRO DE SALUD ESMERALDA,ESMERALDA,SANTA FE,CASTELLANOS
CENTRO DE SALUD ESTACION CLUCELLAS,ESTACION CLUCELLAS,SANTA FE,CASTELLANOS
SAMCO EUSEBIA DR SAUL GOMEZ,EUSEBIA Y CAROLINA,SANTA FE,CASTELLANOS
CENTRO DE SALUD BARRIO VILLANI,FRONTERA,SANTA FE,CASTELLANOS
CENTRO DE SALUD BARRIO FRANCUCCI,FRONTERA,SANTA FE,CASTELLANOS
